2L	1680647	1681647	1	0.1	5263
2L	2874241	2875241	1	0	5216
2L	6722653	6723653	1	0.1	5236
2L	7388103	7389103	1	0.1	5180
2L	8258232	8259232	1	0.1	5249
2L	9120621	9121621	1	0	5226
2L	9907481	9908481	1	0.1	4523
2L	10621124	10622124	1	0.2	5191
2L	10981331	10982331	1	0.3	4329
2L	10982328	10983328	1	0.2	545
2L	12121138	12122138	1	24	200
2L	13265798	13266798	1	0.1	5197
2L	14316735	14317735	1	0.1	5231
2L	16379092	16380092	1	0.8	5186
2L	16379098	16380098	1	0.2	5260
2L	16379109	16380109	1	2.6	5124
2L	16465870	16466870	1	0	5247
2L	16814175	16815175	1	0	5207
2L	19900826	19901826	1	0.1	5222
2L	20585329	20586329	1	0.2	5261
2L	20860607	20861607	1	0.2	5259
2L	21393951	21394951	2	25.6	342
2L	22774229	22775229	8	18.8	45
2R	900926	901926	7	20.9	133
2R	3823337	3824337	1	0	5236
2R	3823432	3824432	1	0.1	5237
2R	3824336	3825336	1	0.1	4066
2R	4934591	4935591	1	0.3	5255
2R	5833868	5834868	1	0.2	5117
2R	5834884	5835884	1	0	4317
2R	6302411	6303411	1	0	5214
2R	7034106	7035106	1	0.1	5268
2R	7035625	7036625	1	0.9	586
2R	7506285	7507285	1	0	5163
2R	8303008	8304008	1	0.1	4085
2R	8304009	8305009	1	0.3	5260
2R	8304010	8305010	1	0.1	5217
2R	8587463	8588463	1	0	5220
2R	8846590	8847590	1	0	5118
2R	8847308	8848308	1	0.1	4968
2R	9821932	9822932	1	0.1	5218
2R	9822455	9823455	1	0.2	5222
2R	9822728	9823728	1	0	5212
2R	9822934	9823934	1	1.8	5200
2R	12560877	12561877	8	24.5	99
2R	14222153	14223153	1	0	5206
2R	15784047	15785047	1	0	5210
2R	18251758	18252758	1	0.1	5183
2R	19361888	19362888	1	0	2927
2R	20031326	20032326	1	0	5199
2R	20534605	20535605	1	0.1	5250
2R	21325439	21326439	1	1.3	4272
3L	516	1516	1	0.1	5217
3L	74654	75654	1	0	5212
3L	2237875	2238875	1	0	58
3L	4455879	4456879	1	0	5233
3L	4851633	4852633	1	0.3	5166
3L	7202435	7203435	1	0	5206
